Тип предложения,Комнаты,Адрес,Серия,Площадь,Отопление,Состояние,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Интернет,Газ,Балкон,Мебель,Пол,Высота потолков,Телефон,Санузел,Входная дверь,Парковка,Ценна доллар,Lat,Lon,Город,Номер этажа,Общий этаж,Домофон,Видеонаблюдение,Охрана,Решетки на окнах,Кодовый замок,Сигнализация,Видеодомофон,Консьерж,Договор купли-продажи,Договор дарения,Технический паспорт,Акт ввода в эксплуатацию,Красная книга,зеленая книга,Материал,Год
собственник,1,"Бишкек, Молодая Гвардия, Абдумомунова 309/Фрунзе",элитка,52.0,1.0,евроремонт,,,рассмотрю варианты,,,,,,3.0,,,,,75000,42.8815,74.5775,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,монолитный,2021
собственник,3,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,9.0,1.0,евроремонт,,,,проводной,1.0,1.0,частично меблирована,ламинат,3.0,,раздельный,бронированная,,118000,42.8161,74.6228,Бишкек,8,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,кирпичный,2022
собственник,4,"Бишкек, Магистраль, Масалиева/Бакаева",элитка,158.0,1.0,под самоотделку (псо),,,обмен не предлагать,adsl,1.0,1.0,пустая,пробковое,3.0,1.0,раздельный,бронированная,паркинг,138500,42.8284,74.5771,Бишкек,8,12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2024
агент,2,"Бишкек, 12 м-н, 12 мкрн 57/1",элитка,47.0,1.0,евроремонт,,,,adsl,1.0,0.0,полностью меблирована,ламинат,3.0,1.0,совмещенный,бронированная,рядом охраняемая стоянка,75000,42.8121,74.6374,Бишкек,10,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
собственник,1,"Бишкек, VEFA, Кулатова/Элебаева",элитка,45.0,1.0,евроремонт,,,,,,,,,3.0,,,,,68500,42.8592,74.6134,Бишкек,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
собственник,2,"Бишкек, Джальская больница, Тыналиева 2/21",индивид. планировка,75.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.0,,раздельный,бронированная,паркинг,90000,42.8455,74.5688,Бишкек,6,14,1,1,1,0,1,0,0,0,0,0,1,0,1,0,кирпичный,2019
собственник,3,"Бишкек, Старый аэропорт, Бакаева 132а/Ахумбаева Чапаева",элитка,115.0,1.0,евроремонт,0.0,1.0,обмен не предлагать,проводной,1.0,1.0,частично меблирована,паркет,2.85,1.0,2 с/у и более,бронированная,гараж,157000,42.8414,74.5767,Бишкек,4,6,1,1,0,0,1,0,1,0,1,1,1,1,1,0,монолитный,2014
агент,1,"Бишкек, Космос, Панфилова 13",хрущевка,29.0,1.0,среднее,,,,проводной,1.0,0.0,,дерево,2.65,0.0,совмещенный,деревянная,паркинг,38500,42.8478,74.5996,Бишкек,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,1960
агент,3,"Бишкек, Московская - Уметалиева/бокомбаева",индивид. планировка,75.0,1.0,евроремонт,,,,,1.0,1.0,пустая,,2.75,,раздельный,металлическая,паркинг,80900,42.8701,74.5823,Бишкек,4,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,кирпичный,1981
собственник,2,"Бишкек, Душанбинка, Токтоналиева 8/2/Джаманбаева",элитка,63.0,,евроремонт,,,,adsl,,,пустая,,,1.0,совмещенный,,,73000,42.849,74.5925,Бишкек,6,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2021
собственник,3,"Бишкек, Московская - Уметалиева, Московская 191",элитка,113.0,,евроремонт,,,рассмотрю варианты,adsl,1.0,1.0,частично меблирована,ламинат,3.0,1.0,раздельный,бронированная,рядом охраняемая стоянка,141250,42.8713,74.5821,Бишкек,5,12,1,1,1,0,0,0,0,0,1,0,1,1,1,0,кирпичный,
собственник,2,"Бишкек, Махатма Ганди - БЧК",индивид. планировка,37.0,,евроремонт,,,,,,,,,2.8,,совмещенный,бронированная,,42000,42.8927,74.5766,Бишкек,6,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,монолитный,
агент,2,"Бишкек, Академия Наук, Турусбекова",элитка,52.1,1.0,евроремонт,,,,проводной,1.0,1.0,полностью меблирована,паркет,3.0,1.0,раздельный,металлическая,паркинг,134000,42.8778,74.5827,Бишкек,7,9,1,1,1,1,0,1,0,0,1,0,1,0,0,0,кирпичный,2014
агент,1,"Бишкек, Парк Панфилова/Спартак, Логвиненко",элитка,64.0,1.0,евроремонт,,,рассмотрю варианты,проводной,1.0,1.0,полностью меблирована,ламинат,3.0,0.0,совмещенный,металлическая,паркинг,75000,42.8835,74.5987,Бишкек,10,12,1,1,1,1,0,1,0,0,1,0,1,0,0,0,кирпичный,2012
агент,3,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,74.0,1.0,евроремонт,,,,проводной,1.0,,,,2.8,1.0,совмещенный,,,90000,42.8449,74.5673,Бишкек,18,18,1,1,1,0,0,0,0,0,1,0,1,0,0,0,монолитный,2014
агент,2,"Бишкек, КНУ, Байтик Баатыра",элитка,120.0,1.0,евроремонт,,,,проводной,1.0,0.0,полностью меблирована,ламинат,3.0,1.0,раздельный,металлическая,паркинг,150000,42.884,74.581,Бишкек,2,9,1,1,1,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2015
агент,3,"Бишкек, Джал-23 м-н (Нижний Джал)",106 серия,68.0,1.0,хорошее,,,,проводной,1.0,1.0,частично меблирована,линолеум,2.8,0.0,раздельный,металлическая,паркинг,74500,42.843,74.5639,Бишкек,9,9,1,0,0,1,0,0,0,0,1,0,1,0,0,0,панельный,2009
агент,3,"Бишкек, Советская - Скрябина, Скрябина/Советская",элитка,136.0,1.0,евроремонт,,,,проводной,1.0,1.0,полностью меблирована,паркет,3.0,1.0,раздельный,бронированная,рядом охраняемая стоянка,176000,42.8497,74.6099,Бишкек,4,10,1,1,1,1,0,0,1,0,1,0,1,0,0,0,кирпичный,2020
агент,2,"Бишкек, Кара-Жыгач ж/м, Кемин/Субан-Ата",элитка,49.0,1.0,евроремонт,0.0,0.0,,проводной,1.0,1.0,пустая,ламинат,2.8,1.0,совмещенный,металлическая,рядом охраняемая стоянка,52000,42.8596,74.6634,Бишкек,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,панельный,2022
агент,3,"Бишкек, Рабочий Городок,  ул.Льва Толстого/Садырбаева",элитка,87.0,1.0,под самоотделку (псо),,,,проводной,,,,,2.8,0.0,,,,74000,42.8653,74.569,Бишкек,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
агент,1,"Бишкек Ленинский район,  ул. Барпы Алыкулова/Южная Магистраль",элитка,45.97,,под самоотделку (псо),,,,проводной,1.0,,,,,0.0,совмещенный,,,46000,42.8236,74.5127,Бишкек,10,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2026
агент,3,"Бишкек Ленинский район,  ул. Барпы Алыкулова/Южная Магистраль",элитка,97.55,,под самоотделку (псо),0.0,1.0,обмен на авто,проводной,1.0,,,,,0.0,раздельный,,,96000,42.8236,74.5127,Бишкек,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2026
агент,1,"Бишкек, Космос, Абая 93/1",элитка,54.51,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,пустая,,3.0,0.0,раздельный,металлическая,паркинг,48500,42.8489,74.6,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Баха, Султана Боронбая",элитка,87.02,1.0,под самоотделку (псо),1.0,1.0,рассмотрю варианты,проводной,1.0,1.0,пустая,,3.0,0.0,раздельный,металлическая,рядом охраняемая стоянка,77000,42.8453,74.5516,Бишкек,2,10,1,1,1,0,0,0,1,0,0,0,0,0,0,0,кирпичный,2024
агент,4,"Бишкек, Площадь Победы, Советская/ Жумабек",хрущевка,92.0,1.0,хорошее,,,,проводной,1.0,1.0,,ламинат,3.2,1.0,раздельный,деревянная,гараж,89000,42.8793,74.6146,Бишкек,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,1972
агент,1,"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",элитка,36.6,1.0,под самоотделку (псо),,,,проводной,1.0,0.0,пустая,,3.0,0.0,раздельный,нет,паркинг,37000,42.8217,74.6172,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
собственник,2,"Бишкек, Магистраль, бакаева 144/Масалиева",элитка,104.5,1.0,под самоотделку (псо),1.0,,,,,,,,2.8,,,,,114950,42.8285,74.577,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
собственник,1,"Бишкек, Магистраль, Бакаева 144/Магистраль",элитка,67.9,1.0,под самоотделку (псо),0.0,0.0,обмен на авто,проводной,1.0,0.0,пустая,ламинат,2.9,1.0,совмещенный,бронированная,рядом охраняемая стоянка,74690,42.8286,74.577,Бишкек,3,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
собственник,1,"Бишкек, Магистраль, Бакаева 144/Магистраль",элитка,67.9,1.0,под самоотделку (псо),1.0,,обмен не предлагать,проводной,1.0,1.0,,,2.8,1.0,совмещенный,бронированная,рядом охраняемая стоянка,74690,42.8286,74.5772,Бишкек,7,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
собственник,1,"Бишкек, 10 м-н 17",105 серия,37.0,1.0,среднее,,,,,,,,,,,,,,44000,42.8329,74.6017,Бишкек,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,панельный,1970
собственник,3,"Бишкек, Военторг, Тоголок Молдо/Токтогула",элитка,128.0,1.0,под самоотделку (псо),1.0,,,,,,,,3.1,,,,,151040,42.8717,74.5938,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2022
собственник,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,125.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,130000,42.8195,74.6158,Бишкек,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019
агент,2,"Бишкек, Джал-29 м-н, Магистраль/Тыналиева",элитка,77.0,1.0,под самоотделку (псо),,,обмен не предлагать,проводной,1.0,,пустая,,3.0,,раздельный,металлическая,,84000,42.8306,74.5657,Бишкек,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2024
собственник,1,"Бишкек, Мадина,  ул. 7 апреля",элитка,52.0,1.0,под самоотделку (псо),0.0,0.0,с доплатой покупателя,проводной,1.0,1.0,,,3.0,,совмещенный,металлическая,паркинг,53800,42.8694,74.6377,Бишкек,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2022
собственник,1,"Бишкек, Горького - Алма-Атинская, 7-апреля (Алматинская)/Исакеева (ниже Горького)",индивид. планировка,42.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,проводной,,1.0,пустая,,,,совмещенный,металлическая,паркинг,28980,42.8603,74.6291,Бишкек,7,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2025
собственник,3,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",индивид. планировка,109.0,1.0,евроремонт,0.0,0.0,с доплатой покупателя,проводной,1.0,1.0,пустая,паркет,3.0,,раздельный,металлическая,рядом охраняемая стоянка,103000,42.8501,74.6361,Бишкек,11,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2021
собственник,1,"Бишкек, 10 м-н, Малдыбаева 17/10-мкр",105 серия,35.0,1.0,среднее,0.0,0.0,обмен не предлагать,проводной,1.0,,,,,,совмещенный,,,44300,42.8329,74.6013,Бишкек,5,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,1990
собственник,2,"Бишкек, Золотой квадрат, Панфилова-Московская",элитка,74.0,1.0,под самоотделку (псо),0.0,0.0,с доплатой покупателя,,1.0,1.0,,,3.0,,раздельный,металлическая,паркинг,95000,42.8694,74.6003,Бишкек,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
агент,2,"Бишкек, Ошский рынок, Киевская/Бейшеналиева",сталинка,52.0,1.0,евроремонт,0.0,0.0,с доплатой покупателя,проводной,1.0,,,ламинат,,,раздельный,металлическая,,61500,42.8758,74.572,Бишкек,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,1960
агент,1,"Бишкек, Ден Сяопина - Фучика, Харьковская 35/Жибек Жолу",индивид. планировка,35.0,1.0,евроремонт,0.0,0.0,обмен не предлагать,проводной,1.0,,полностью меблирована,ламинат,,,совмещенный,металлическая,,43800,42.8873,74.5563,Бишкек,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2021
агент,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,125.0,1.0,под самоотделку (псо),0.0,0.0,с доплатой покупателя,проводной,1.0,1.0,,,3.0,,2 с/у и более,металлическая,,133750,42.8195,74.6155,Бишкек,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,монолитный,2019
собственник,1,"Бишкек, Улан-2 м-н",105 серия,43.4,1.0,хорошее,,,,,1.0,,полностью меблирована,ламинат,2.7,,совмещенный,,,51500,42.8452,74.6338,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2018
собственник,3,"Бишкек, Кара-Жыгач ж/м, Сары озон (Лев Толстой) 86/Достоевский",индивид. планировка,82.0,1.0,евроремонт,0.0,0.0,с доплатой покупателя,проводной,1.0,1.0,частично меблирована,паркет,,,раздельный,металлическая,паркинг,67500,42.8664,74.6525,Бишкек,3,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
собственник,1,"Бишкек, Горького - Алма-Атинская, Алматинка/Горького",индивид. планировка,42.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,,,,,,,,,,29980,42.8603,74.629,Бишкек,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2025
собственник,1,"Бишкек, Улан-2 м-н",105 серия,43.0,1.0,евроремонт,,1.0,,оптика,,0.0,полностью меблирована,ламинат,,,совмещенный,бронированная,паркинг,51000,42.8452,74.6338,Бишкек,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,панельный,2018
собственник,1,"Бишкек, Кок-Жар ж/м, Молдокулова 10/1/Ахунбаева",105 серия,44.6,1.0,евроремонт,0.0,,обмен не предлагать,оптика,0.0,1.0,полностью меблирована,ламинат,2.8,0.0,совмещенный,бронированная,паркинг,53000,42.8395,74.6442,Бишкек,8,9,1,1,0,0,1,0,0,0,1,0,1,1,1,0,панельный,2020
агент,4,"Бишкек, Магистраль, Токомбаева",элитка,172.0,,евроремонт,,,,,,,,,3.0,,,,,340000,42.8172,74.6238,Бишкек,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
собственник,1,"Бишкек, 4 м-н, 4 22",104 серия,32.0,1.0,евроремонт,,,,проводной,1.0,1.0,пустая,ламинат,2.6,0.0,совмещенный,бронированная,паркинг,54500,42.8387,74.629,Бишкек,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1972
собственник,1,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,43.0,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,пустая,,3.0,0.0,раздельный,металлическая,паркинг,36500,42.8113,74.6221,Бишкек,6,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,монолитный,2023
собственник,2,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,60.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,52000,42.8451,74.5654,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
собственник,1,"Бишкек, Магистраль,  ул. Куттубаева, 15",элитка,45.0,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,пустая,,3.0,0.0,совмещенный,металлическая,паркинг,37000,42.813,74.6193,Бишкек,3,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,монолитный,2023
собственник,1,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,42.0,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,пустая,,3.0,0.0,совмещенный,металлическая,паркинг,40500,42.8451,74.5654,Бишкек,9,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2023
собственник,1,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,42.0,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,,,3.0,0.0,совмещенный,металлическая,паркинг,40500,42.8451,74.5654,Бишкек,7,14,1,1,0,0,0,0,1,0,0,0,0,0,1,0,монолитный,2023
собственник,2,"Бишкек, Матросова, Суванбердиева 110",элитка,68.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,66000,42.8485,74.6173,Бишкек,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
собственник,3,"Бишкек, Западный автовокзал, Динары Асановой 4",элитка,76.22,1.0,под самоотделку (псо),,,обмен не предлагать,,1.0,1.0,,,3.0,1.0,раздельный,,,63000,42.884,74.5633,Бишкек,3,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,монолитный,2023
собственник,1,"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",элитка,36.6,1.0,под самоотделку (псо),0.0,,,,1.0,1.0,,,3.2,,совмещенный,,паркинг,32940,42.8217,74.6172,Бишкек,4,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2025
собственник,4,"Бишкек, Магистраль, Токомбаева (Южная магистраль) 33/напротив гипермаркета ""Глобус""",элитка,125.0,,хорошее,,,,проводной,,,,ламинат,,,2 с/у и более,бронированная,паркинг,160000,42.8241,74.6127,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2021
собственник,1,"Бишкек, Тунгуч м-н, микрорайон Тунгуч (второй дом от ул.Анкара)",105 серия,35.0,1.0,хорошее,,,,проводной,1.0,1.0,,,,,,,паркинг,46000,42.8543,74.6891,Бишкек,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
собственник,1,"Бишкек, Кок-Жар ж/м, ЖК премиум класса ""Ботсад""",элитка,45.0,,под самоотделку (псо),,,,,,,,,,,,,,54000,42.8337,74.6398,Бишкек,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
собственник,2,"Бишкек, Политех, Сухомлинова/пр.Ч.Айтматова (бывш.пр.Мира), в районе Политеха",индивид. планировка,45.0,1.0,хорошее,,,,проводной,1.0,,,,,,,бронированная,паркинг,62000,42.8463,74.585,Бишкек,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
собственник,3,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",элитка,113.0,1.0,не достроено,,,,adsl,1.0,1.0,пустая,дерево,3.0,0.0,раздельный,бронированная,паркинг,152550,42.8152,74.622,Бишкек,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2025
собственник,2,"Бишкек, КНУ, Фрунзе 571/Уметалиева",элитка,55.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.3,0.0,совмещенный,бронированная,паркинг,69800,42.8821,74.5817,Бишкек,10,12,1,1,1,0,1,0,1,1,1,0,1,0,0,0,монолитный,2024
собственник,1,"Бишкек, Московская - Уметалиева, Манасчи Сагынбая 221/район улиц Токтогула-Турусбекова (тихий центр)",индивид. планировка,30.0,1.0,хорошее,,,,проводной,1.0,,,,,,,бронированная,паркинг,48500,42.8721,74.5832,Бишкек,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
собственник,2,"Бишкек, Аламедин-1 м-н, в микрорайоне Аламедин-1 59/за рынком Чынар",105 серия,52.0,1.0,хорошее,,,,проводной,1.0,1.0,полностью меблирована,,,,раздельный,бронированная,паркинг,56000,42.8765,74.6889,Бишкек,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
собственник,2,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",элитка,64.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.0,,раздельный,бронированная,паркинг,57700,42.8516,74.5347,Бишкек,8,10,1,1,1,0,1,0,0,0,1,0,0,0,1,0,монолитный,2023
собственник,1,"Бишкек, Нижний Токольдош,  ул. Кийизбаева/Передовая (мкрн. ""Восток-5"")",элитка,47.0,1.0,под самоотделку (псо),,,,проводной,1.0,1.0,,,3.0,1.0,совмещенный,бронированная,рядом охраняемая стоянка,44500,42.8683,74.6319,Бишкек,10,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2023
собственник,1,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",элитка,43.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.0,,совмещенный,бронированная,паркинг,38900,42.8506,74.5324,Бишкек,10,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,монолитный,2023
собственник,1,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",элитка,40.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.0,,,бронированная,паркинг,40800,42.8516,74.5347,Бишкек,8,10,1,1,0,0,1,0,0,0,0,0,0,0,1,0,монолитный,2023
собственник,2,"Бишкек, Магистраль, Магистраль/Сухэ Батора",элитка,67.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.0,,совмещенный,бронированная,паркинг,70400,42.8175,74.6107,Бишкек,16,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
собственник,2,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",элитка,66.0,1.0,под самоотделку (псо),,,,,1.0,1.0,,,3.0,,раздельный,бронированная,паркинг,52500,42.8585,74.6315,Бишкек,3,10,1,1,1,0,1,0,0,0,0,0,0,0,1,0,монолитный,2024
собственник,2,"Бишкек, Московская - Белинка",индивид. планировка,50.0,1.0,хорошее,,,,,,,,,,,,,,75000,42.8683,74.5879,Бишкек,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
собственник,2,"Бишкек, Военторг, Манасчы Сагынбая 168",элитка,67.0,1.0,не достроено,0.0,0.0,обмен не предлагать,,,,,,3.2,,,,,63650,42.8716,74.5945,Бишкек,2,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2025
агент,3,"Бишкек, 8 м-н, 7 микрорайон",106 серия,68.0,1.0,евроремонт,,,обмен не предлагать,проводной,1.0,1.0,пустая,ламинат,3.0,1.0,раздельный,бронированная,паркинг,82500,42.8298,74.6119,Бишкек,8,9,1,1,0,1,1,0,1,0,1,0,1,0,0,0,панельный,
собственник,2,"Бишкек, 5 м-н 8",104 серия,48.0,1.0,евроремонт,,,,оптика,1.0,1.0,частично меблирована,паркет,,,,бронированная,паркинг,69500,42.8345,74.6231,Бишкек,2,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,панельный,
агент,2,"Бишкек, Мед. академия",индивид. планировка,48.0,1.0,хорошее,0.0,1.0,,проводной,1.0,1.0,полностью меблирована,ламинат,,,раздельный,бронированная,паркинг,66000,42.8399,74.6033,Бишкек,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,3,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",элитка,100.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,1.0,1.0,,,3.0,,2 с/у и более,бронированная,рядом охраняемая стоянка,113000,42.819,74.6048,Бишкек,2,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
