Тип предложения,Комнаты,Адрес,Серия,Площадь,Отопление,Состояние,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Интернет,Газ,Балкон,Мебель,Пол,Высота потолков,Телефон,Санузел,Входная дверь,Парковка,Ценна доллар,Ценна сом,Lat,Lon,Город,Номер этажа,Общий этаж,Домофон,Видеонаблюдение,Охрана,Решетки на окнах,Кодовый замок,Сигнализация,Видеодомофон,Консьерж,Договор купли-продажи,Договор дарения,Технический паспорт,Акт ввода в эксплуатацию,Красная книга,зеленая книга,Material,Year,"Стоимость, доллар США за 1 кв.м"
собственник,1,"Бишкек, Молодая Гвардия, Абдумомунова 309/Фрунзе",элитка,52.0,1,евроремонт,0,0,рассмотрю варианты,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,75000,6640500,42.8815,74.5775,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,монолитный,2021,1442.3076923076924
собственник,1,"с. Кок-Джар, мкр. Кок Жар",элитка,41.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,39900,3532746,42.8206,74.649,Бишкек,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024,973.170731707317
собственник,3,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,9.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,1,частично меблирована,ламинат,3.0,0,раздельный,бронированная,нет,118000,10447720,42.8161,74.6228,Бишкек,8,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,кирпичный,2022,13111.111111111111
собственник,4,"Бишкек, Магистраль, Масалиева/Бакаева",элитка,158.0,1,под самоотделку (псо),0,0,обмен не предлагать,adsl,1,1,пустая,пробковое,3.0,1,раздельный,бронированная,паркинг,138500,12262790,42.8284,74.5771,Бишкек,8,12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2024,876.5822784810126
агент,2,"Бишкек, 12 м-н, 12 мкрн 57/1",элитка,47.0,1,евроремонт,0,0,обмен не предлагать,adsl,1,0,полностью меблирована,ламинат,3.0,1,совмещенный,бронированная,рядом охраняемая стоянка,75000,6640500,42.8121,74.6374,Бишкек,10,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021,1595.7446808510638
собственник,1,"Бишкек, VEFA, Кулатова/Элебаева",элитка,45.0,1,евроремонт,0,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,68500,6064990,42.8592,74.6134,Бишкек,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022,1522.2222222222222
собственник,2,"Бишкек, Джальская больница, Тыналиева 2/21",индивид. планировка,75.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,1,1,пустая,ламинат,3.0,0,раздельный,бронированная,паркинг,90000,7968600,42.8455,74.5688,Бишкек,6,14,1,1,1,0,1,0,0,0,0,0,1,0,1,0,кирпичный,2019,1200.0
собственник,3,"Бишкек, Старый аэропорт, Бакаева 132а/Ахумбаева Чапаева",элитка,115.0,1,евроремонт,0,1,обмен не предлагать,проводной,1,1,частично меблирована,паркет,2.85,1,2 с/у и более,бронированная,гараж,157000,13900780,42.8414,74.5767,Бишкек,4,6,1,1,0,0,1,0,1,0,1,1,1,1,1,0,монолитный,2014,1365.2173913043478
агент,1,"Лебединовка, Мичурина/Калинина",элитка,34.0,1,евроремонт,0,0,обмен не предлагать,нет,1,0,частично меблирована,ламинат,2.9796183723797784,0,совмещенный,бронированная,нет,46500,4117110,42.884,74.6805,Бишкек,8,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,кирпичный,2022,1367.6470588235295
агент,1,"Бишкек, Космос, Панфилова 13",хрущевка,29.0,1,среднее,0,0,обмен не предлагать,проводной,1,0,пустая,дерево,2.65,0,совмещенный,деревянная,паркинг,38500,3408790,42.8478,74.5996,Бишкек,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,1960,1327.5862068965516
агент,3,"Бишкек, Московская - Уметалиева/бокомбаева",индивид. планировка,75.0,1,евроремонт,0,0,обмен не предлагать,нет,1,1,пустая,ламинат,2.75,0,раздельный,металлическая,паркинг,80900,7162886,42.8701,74.5823,Бишкек,4,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,кирпичный,1981,1078.6666666666667
собственник,2,"Бишкек, Душанбинка, Токтоналиева 8/2/Джаманбаева",элитка,63.0,0,евроремонт,0,0,обмен не предлагать,adsl,0,0,пустая,ламинат,2.9796183723797784,1,совмещенный,бронированная,нет,73000,6463420,42.849,74.5925,Бишкек,6,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2021,1158.7301587301588
собственник,3,"Бишкек, Московская - Уметалиева, Московская 191",элитка,113.0,0,евроремонт,0,0,рассмотрю варианты,adsl,1,1,частично меблирована,ламинат,3.0,1,раздельный,бронированная,рядом охраняемая стоянка,141250,12506275,42.8713,74.5821,Бишкек,5,12,1,1,1,0,0,0,0,0,1,0,1,1,1,0,кирпичный,2022,1250.0
собственник,2,"Бишкек, Махатма Ганди - БЧК",индивид. планировка,37.0,0,евроремонт,0,0,обмен не предлагать,нет,0,0,пустая,ламинат,2.8,0,совмещенный,бронированная,нет,42000,3718680,42.8927,74.5766,Бишкек,6,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,монолитный,2022,1135.1351351351352
агент,2,"Бишкек, Академия Наук, Турусбекова",элитка,52.1,1,евроремонт,0,0,обмен не предлагать,проводной,1,1,полностью меблирована,паркет,3.0,1,раздельный,металлическая,паркинг,134000,11864360,42.8778,74.5827,Бишкек,7,9,1,1,1,1,0,1,0,0,1,0,1,0,0,0,кирпичный,2014,2571.9769673704413
агент,1,"Бишкек, Парк Панфилова/Спартак, Логвиненко",элитка,64.0,1,евроремонт,0,0,рассмотрю варианты,проводной,1,1,полностью меблирована,ламинат,3.0,1,совмещенный,металлическая,паркинг,75000,6640500,42.8835,74.5987,Бишкек,10,12,1,1,1,1,0,1,0,0,1,0,1,0,0,0,кирпичный,2012,1171.875
агент,3,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,74.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,0,пустая,ламинат,2.8,1,совмещенный,бронированная,нет,90000,7968600,42.8449,74.5673,Бишкек,18,18,1,1,1,0,0,0,0,0,1,0,1,0,0,0,монолитный,2014,1216.2162162162163
агент,2,"Бишкек, КНУ, Байтик Баатыра",элитка,120.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,0,полностью меблирована,ламинат,3.0,1,раздельный,металлическая,паркинг,150000,13281000,42.884,74.581,Бишкек,2,9,1,1,1,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2015,1250.0
агент,2,"Лебединовка,  ул. Ленина",элитка,54.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,1,0,пустая,ламинат,3.1,0,нет,бронированная,нет,61500,5445210,42.8845,74.662,Бишкек,9,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2023,1138.888888888889
агент,3,"Бишкек, Джал-23 м-н (Нижний Джал)",106 серия,68.0,1,хорошее,0,0,обмен не предлагать,проводной,1,1,частично меблирована,линолеум,2.8,1,раздельный,металлическая,паркинг,74500,6596230,42.843,74.5639,Бишкек,9,9,1,0,0,1,0,0,0,0,1,0,1,0,0,0,панельный,2009,1095.5882352941176
агент,3,"Бишкек, Советская - Скрябина, Скрябина/Советская",элитка,136.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,1,полностью меблирована,паркет,3.0,1,раздельный,бронированная,рядом охраняемая стоянка,176000,15583040,42.8497,74.6099,Бишкек,4,10,1,1,1,1,0,0,1,0,1,0,1,0,0,0,кирпичный,2020,1294.1176470588234
агент,2,"Бишкек, Кара-Жыгач ж/м, Кемин/Субан-Ата",элитка,49.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,2.8,1,совмещенный,металлическая,рядом охраняемая стоянка,52000,4604080,42.8596,74.6634,Бишкек,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,панельный,2022,1061.2244897959183
агент,3,"Бишкек, Рабочий Городок,  ул.Льва Толстого/Садырбаева",элитка,87.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,0,0,пустая,ламинат,2.8,1,нет,бронированная,нет,74000,6551960,42.8653,74.569,Бишкек,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021,850.5747126436781
агент,1,"Бишкек Ленинский район,  ул. Барпы Алыкулова/Южная Магистраль",элитка,45.97,0,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,0,пустая,ламинат,2.9796183723797784,1,совмещенный,бронированная,нет,46000,4072840,42.8236,74.5127,Бишкек,10,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2026,1000.6525995214271
агент,3,"Бишкек Ленинский район,  ул. Барпы Алыкулова/Южная Магистраль",элитка,97.55,0,под самоотделку (псо),0,1,обмен на авто,проводной,1,0,пустая,ламинат,2.9796183723797784,1,раздельный,бронированная,нет,96000,8499840,42.8236,74.5127,Бишкек,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2026,984.1107124551512
агент,1,"Бишкек, Космос, Абая 93/1",элитка,54.51,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,3.0,1,раздельный,металлическая,паркинг,48500,4294190,42.8489,74.6,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023,889.7450009172629
агент,3,"Бишкек, Баха, Султана Боронбая",элитка,87.02,1,под самоотделку (псо),1,1,рассмотрю варианты,проводной,1,1,пустая,ламинат,3.0,1,раздельный,металлическая,рядом охраняемая стоянка,77000,6817580,42.8453,74.5516,Бишкек,2,10,1,1,1,0,0,0,1,0,0,0,0,0,0,0,кирпичный,2024,884.8540565387268
агент,4,"Бишкек, Площадь Победы, Советская/ Жумабек",хрущевка,92.0,1,хорошее,0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,3.2,1,раздельный,деревянная,гараж,89000,7880060,42.8793,74.6146,Бишкек,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,1972,967.3913043478261
агент,1,"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",элитка,36.6,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,0,пустая,ламинат,3.0,1,раздельный,нет,паркинг,37000,3275980,42.8217,74.6172,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022,1010.9289617486338
собственник,2,"Бишкек, Магистраль, бакаева 144/Масалиева",элитка,104.5,1,под самоотделку (псо),1,0,обмен не предлагать,нет,0,0,пустая,ламинат,2.8,0,нет,бронированная,нет,114950,10177673,42.8285,74.577,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024,1100.0
собственник,1,"Бишкек, Магистраль, Бакаева 144/Магистраль",элитка,67.9,1,под самоотделку (псо),0,0,обмен на авто,проводной,1,0,пустая,ламинат,2.9,1,совмещенный,бронированная,рядом охраняемая стоянка,74690,6613053,42.8286,74.577,Бишкек,3,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2022,1100.0
собственник,1,"Бишкек, Магистраль, Бакаева 144/Магистраль",элитка,67.9,1,под самоотделку (псо),1,0,обмен не предлагать,проводной,1,1,пустая,ламинат,2.8,1,совмещенный,бронированная,рядом охраняемая стоянка,74690,6613053,42.8286,74.5772,Бишкек,7,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024,1100.0
собственник,2,с. Кок-Джар,элитка,70.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,2.9796183723797784,0,нет,бронированная,нет,60800,5383232,42.8131,74.648,Бишкек,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2024,868.5714285714286
собственник,1,"Бишкек, 10 м-н 17",105 серия,37.0,1,среднее,0,0,обмен не предлагать,нет,0,0,пустая,ламинат,2.9796183723797784,0,нет,бронированная,нет,44000,3895760,42.8329,74.6017,Бишкек,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,панельный,1970,1189.1891891891892
собственник,3,"Бишкек, Военторг, Тоголок Молдо/Токтогула",элитка,128.0,1,под самоотделку (псо),1,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.1,0,нет,бронированная,нет,151040,13373082,42.8717,74.5938,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2022,1180.0
собственник,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,125.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,130000,11510200,42.8195,74.6158,Бишкек,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019,1040.0
агент,2,"Бишкек, Джал-29 м-н, Магистраль/Тыналиева",элитка,77.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,0,пустая,ламинат,3.0,0,раздельный,металлическая,нет,84000,7437360,42.8306,74.5657,Бишкек,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2024,1090.909090909091
собственник,1,"Бишкек, Мадина,  ул. 7 апреля",элитка,52.0,1,под самоотделку (псо),0,0,с доплатой покупателя,проводной,1,1,пустая,ламинат,3.0,0,совмещенный,металлическая,паркинг,53800,4763452,42.8694,74.6377,Бишкек,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2022,1034.6153846153845
собственник,1,"Бишкек, Горького - Алма-Атинская, 7-апреля (Алматинская)/Исакеева (ниже Горького)",индивид. планировка,42.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,0,1,пустая,ламинат,2.9796183723797784,0,совмещенный,металлическая,паркинг,28980,2565889,42.8603,74.6291,Бишкек,7,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2025,690.0
собственник,3,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",индивид. планировка,109.0,1,евроремонт,0,0,с доплатой покупателя,проводной,1,1,пустая,паркет,3.0,0,раздельный,металлическая,рядом охраняемая стоянка,103000,9119620,42.8501,74.6361,Бишкек,11,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2021,944.954128440367
собственник,1,"Бишкек, 10 м-н, Малдыбаева 17/10-мкр",105 серия,35.0,1,среднее,0,0,обмен не предлагать,проводной,1,0,пустая,ламинат,2.9796183723797784,0,совмещенный,бронированная,нет,44300,3922322,42.8329,74.6013,Бишкек,5,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,1990,1265.7142857142858
собственник,2,"Бишкек, Золотой квадрат, Панфилова-Московская",элитка,74.0,1,под самоотделку (псо),0,0,с доплатой покупателя,нет,1,1,пустая,ламинат,3.0,0,раздельный,металлическая,паркинг,95000,8411300,42.8694,74.6003,Бишкек,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024,1283.7837837837837
агент,2,"Бишкек, Ошский рынок, Киевская/Бейшеналиева",сталинка,52.0,1,евроремонт,0,0,с доплатой покупателя,проводной,1,0,пустая,ламинат,2.9796183723797784,0,раздельный,металлическая,нет,61500,5445210,42.8758,74.572,Бишкек,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,1960,1182.6923076923076
агент,1,"Бишкек, Ден Сяопина - Фучика, Харьковская 35/Жибек Жолу",индивид. планировка,35.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,0,полностью меблирована,ламинат,2.9796183723797784,0,совмещенный,металлическая,нет,43800,3878052,42.8873,74.5563,Бишкек,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2021,1251.4285714285713
агент,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,125.0,1,под самоотделку (псо),0,0,с доплатой покупателя,проводной,1,1,пустая,ламинат,3.0,0,2 с/у и более,металлическая,нет,133750,11842225,42.8195,74.6155,Бишкек,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,монолитный,2019,1070.0
собственник,1,"Бишкек, Улан-2 м-н",105 серия,43.4,1,хорошее,0,0,обмен не предлагать,нет,1,0,полностью меблирована,ламинат,2.7,0,совмещенный,бронированная,нет,51500,4559810,42.8452,74.6338,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2018,1186.6359447004609
собственник,3,"Бишкек, Кара-Жыгач ж/м, Сары озон (Лев Толстой) 86/Достоевский",индивид. планировка,82.0,1,евроремонт,0,0,с доплатой покупателя,проводной,1,1,частично меблирована,паркет,2.9796183723797784,0,раздельный,металлическая,паркинг,67500,5976450,42.8664,74.6525,Бишкек,3,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2022,823.170731707317
собственник,1,"Бишкек, Горького - Алма-Атинская, Алматинка/Горького",индивид. планировка,42.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,2.9796183723797784,0,нет,бронированная,нет,29980,2654429,42.8603,74.629,Бишкек,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2025,713.8095238095239
собственник,1,"Бишкек, Улан-2 м-н",105 серия,43.0,1,евроремонт,0,1,обмен не предлагать,оптика,0,0,полностью меблирована,ламинат,2.9796183723797784,0,совмещенный,бронированная,паркинг,51000,4515540,42.8452,74.6338,Бишкек,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,панельный,2018,1186.046511627907
собственник,1,"Бишкек, Кок-Жар ж/м, Молдокулова 10/1/Ахунбаева",105 серия,44.6,1,евроремонт,0,0,обмен не предлагать,оптика,0,1,полностью меблирована,ламинат,2.8,1,совмещенный,бронированная,паркинг,53000,4692620,42.8395,74.6442,Бишкек,8,9,1,1,0,0,1,0,0,0,1,0,1,1,1,0,панельный,2020,1188.340807174888
агент,4,"Бишкек, Магистраль, Токомбаева",элитка,172.0,0,евроремонт,0,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,340000,30103600,42.8172,74.6238,Бишкек,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021,1976.7441860465117
собственник,1,"Бишкек, 4 м-н, 4 22",104 серия,32.0,1,евроремонт,0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,2.6,1,совмещенный,бронированная,паркинг,54500,4825430,42.8387,74.629,Бишкек,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1972,1703.125
собственник,1,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,43.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,3.0,1,раздельный,металлическая,паркинг,36500,3231710,42.8113,74.6221,Бишкек,6,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,монолитный,2023,848.8372093023256
собственник,2,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,60.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,52000,4604080,42.8451,74.5654,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023,866.6666666666666
собственник,1,"Бишкек, Магистраль,  ул. Куттубаева, 15",элитка,45.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,3.0,1,совмещенный,металлическая,паркинг,37000,3275980,42.813,74.6193,Бишкек,3,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,монолитный,2023,822.2222222222222
собственник,1,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,42.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,3.0,1,совмещенный,металлическая,паркинг,40500,3585870,42.8451,74.5654,Бишкек,9,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,монолитный,2023,964.2857142857143
собственник,1,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,42.0,1,под самоотделку (псо),0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,3.0,1,совмещенный,металлическая,паркинг,40500,3585870,42.8451,74.5654,Бишкек,7,14,1,1,0,0,0,0,1,0,0,0,0,0,1,0,монолитный,2023,964.2857142857143
собственник,2,"Бишкек, Матросова, Суванбердиева 110",элитка,68.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,3.0,0,нет,бронированная,нет,66000,5843640,42.8485,74.6173,Бишкек,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023,970.5882352941177
собственник,3,"Бишкек, Западный автовокзал, Динары Асановой 4",элитка,76.22,1,под самоотделку (псо),0,0,обмен не предлагать,нет,1,1,пустая,ламинат,3.0,1,раздельный,бронированная,нет,63000,5578020,42.884,74.5633,Бишкек,3,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,монолитный,2023,826.5547100498557
собственник,1,"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",элитка,36.6,1,под самоотделку (псо),0,0,обмен не предлагать,нет,1,1,пустая,ламинат,3.2,0,совмещенный,бронированная,паркинг,32940,2916508,42.8217,74.6172,Бишкек,4,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2025,900.0
собственник,4,"Бишкек, Магистраль, Токомбаева (Южная магистраль) 33/напротив гипермаркета ""Глобус""",элитка,125.0,0,хорошее,0,0,обмен не предлагать,проводной,0,0,пустая,ламинат,2.9796183723797784,0,2 с/у и более,бронированная,паркинг,160000,14166400,42.8241,74.6127,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2021,1280.0
собственник,1,"Бишкек, Тунгуч м-н, микрорайон Тунгуч (второй дом от ул.Анкара)",105 серия,35.0,1,хорошее,0,0,обмен не предлагать,проводной,1,1,пустая,ламинат,2.9796183723797784,0,нет,бронированная,паркинг,46000,4072840,42.8543,74.6891,Бишкек,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,2022,1314.2857142857142
собственник,1,"Бишкек, Кок-Жар ж/м, ЖК премиум класса ""Ботсад""",элитка,45.0,0,под самоотделку (псо),0,0,обмен не предлагать,нет,0,0,пустая,ламинат,2.9796183723797784,0,нет,бронированная,нет,54000,4781160,42.8337,74.6398,Бишкек,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2022,1200.0
собственник,2,"Бишкек, Политех, Сухомлинова/пр.Ч.Айтматова (бывш.пр.Мира), в районе Политеха",индивид. планировка,45.0,1,хорошее,0,0,обмен не предлагать,проводной,1,0,пустая,ламинат,2.9796183723797784,0,нет,бронированная,паркинг,62000,5489480,42.8463,74.585,Бишкек,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2022,1377.7777777777778
собственник,3,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",элитка,113.0,1,не достроено,0,0,обмен не предлагать,adsl,1,1,пустая,дерево,3.0,0,раздельный,бронированная,паркинг,152550,13506777,42.8152,74.622,Бишкек,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2025,1350.0
собственник,2,"Бишкек, КНУ, Фрунзе 571/Уметалиева",элитка,55.0,1,под самоотделку (псо),0,0,обмен не предлагать,нет,1,1,пустая,ламинат,3.3,1,совмещенный,бронированная,паркинг,69800,6180092,42.8821,74.5817,Бишкек,10,12,1,1,1,0,1,0,1,1,1,0,1,0,0,0,монолитный,2024,1269.090909090909
